x y z rvir redshift log_sSFR color
0.04223 0.04836 0.81662 0.00125 0.02720 -9.81 blue
0.03679 0.04343 0.78604 0.00106 0.02619 -9.63 blue
0.02633 0.02221 0.79323 0.00121 0.02638 -9.64 blue
0.06064 0.04943 0.81515 0.00170 0.02719 -10.59 blue
0.00883 0.05500 0.79368 0.00097 0.02644 -9.43 blue
0.00212 0.05972 0.76352 0.00124 0.02546 -9.66 blue
-0.09878 0.03707 0.62373 0.00089 0.02110 -9.34 blue
-0.29800 0.07880 0.74692 0.00159 0.02684 -9.67 blue
-0.22333 -0.06583 0.67001 0.00116 0.02362 -9.35 blue
0.02199 0.01898 0.65202 0.00433 0.02176 -10.04 blue
-0.00074 0.05227 0.79164 0.00182 0.02636 -10.04 blue
0.01464 0.05346 0.77751 0.00097 0.02591 -9.87 blue
-0.14513 0.06147 0.71169 0.00105 0.02426 -10.41 blue
-0.00972 0.05225 0.81822 0.00226 0.02723 -12.77 red
-0.03093 0.05758 0.80209 0.00150 0.02673 -9.58 blue
0.00901 0.02527 0.76789 0.00155 0.02555 -9.29 blue
-0.02000 0.07035 0.80910 0.00127 0.02698 -10.19 blue
-0.04024 0.01873 0.61939 0.00115 0.02072 -11.40 blue
-0.09456 0.04739 0.60183 0.00247 0.02039 -11.17 blue
-0.09889 0.06490 0.69179 0.00171 0.02337 -12.40 red
-0.00065 0.04142 0.79478 0.00126 0.02644 -10.68 blue
-0.10193 0.03173 0.55488 0.00141 0.01888 -11.01 blue
-0.04760 0.02867 0.75966 0.00123 0.02533 -12.95 red
-0.03481 0.02933 0.69777 0.00091 0.02329 -10.00 blue
-0.03910 0.02008 0.59749 0.00158 0.02000 -11.09 blue
-0.05202 0.04034 0.71441 0.00078 0.02388 -9.21 blue
-0.05199 0.03614 0.73127 0.00105 0.02442 -9.83 blue
-0.12614 0.06886 0.80638 0.00080 0.02720 -9.70 blue
-0.11398 0.04556 0.72066 0.00091 0.02433 -9.90 blue
-0.05558 0.02689 0.58020 0.00096 0.01949 -9.00 blue
-0.04740 0.02626 0.71519 0.00112 0.02388 4.32 blue
-0.08124 0.02779 0.62307 0.00156 0.02098 -10.64 blue
-0.05537 0.03356 0.76854 0.00092 0.02564 -10.84 blue
-0.03947 0.01919 0.61933 0.00103 0.02072 -12.77 red
-0.04043 0.03632 0.72939 0.00109 0.02434 -9.77 blue
-0.05668 0.02420 0.67462 0.00136 0.02257 -10.92 blue
-0.05625 0.02778 0.71520 0.00104 0.02390 -10.82 blue
-0.06882 0.04044 0.74070 0.00085 0.02478 -10.12 blue
-0.07307 0.03288 0.65796 0.00197 0.02209 -12.26 red
-0.10198 0.03523 0.79068 0.00122 0.02651 -11.75 red
-0.05327 0.06618 0.77977 0.00088 0.02607 -9.54 blue
-0.06189 0.04201 0.72603 0.00151 0.02429 -10.72 blue
-0.07259 0.03997 0.68764 0.00150 0.02307 -10.75 blue
-0.05250 0.06423 0.69407 0.00085 0.02328 -11.04 blue
-0.12022 0.04024 0.76173 0.00104 0.02567 -10.59 blue
-0.09507 0.03713 0.70819 0.00097 0.02382 4.15 blue
-0.06859 0.02654 0.58419 0.00114 0.01966 -11.13 blue
-0.06066 0.02812 0.65337 0.00181 0.02190 -10.55 blue
-0.11518 0.04371 0.77517 0.00104 0.02609 -11.23 blue
-0.13038 0.04850 0.81677 0.00127 0.02751 -10.20 blue
-0.09369 0.03270 0.57827 0.00109 0.01959 -12.95 red
-0.11418 0.03293 0.62211 0.00106 0.02113 3.99 blue
-0.09367 0.03202 0.57979 0.00152 0.01964 -12.28 red
-0.10597 0.02312 0.68721 0.00120 0.02317 -10.69 blue
-0.08067 0.05717 0.70788 0.00103 0.02379 -9.71 blue
-0.08793 0.04122 0.62474 0.00097 0.02109 -11.81 red
-0.10358 0.04236 0.73003 0.00271 0.02457 -12.17 red
