NSAID RA DEC redshift mstars sfr sfr_err rvir log_sSFR color
673449 197.090634 29.228597 0.02340 9.98 28654448074230.00 -99.00 1.38825 3.47 blue
427015 196.130631 28.301864 0.02626 8.88 0.19 0.00 0.91294 -9.61 blue
427126 197.698510 29.709895 0.02120 10.19 1.29 0.00 1.55222 -10.08 blue
427158 198.293308 29.980378 0.02178 8.87 0.22 0.00 0.91226 -9.52 blue
427494 196.323174 28.582787 0.02621 9.48 0.00 0.00 1.12710 -13.09 red
427601 194.256745 29.062614 0.02503 10.56 0.19 0.00 2.09740 -11.28 red
629556 194.747854 27.993278 0.02063 8.73 -1771964928969943.25 -99.00 0.87188 nan blue
629558 194.751684 27.643975 0.02683 8.26 0.05 0.00 0.74129 -9.54 blue
627297 176.497648 20.447074 0.02370 10.25 0.47 0.00 1.60343 -10.58 red
627530 179.465522 29.039446 0.02153 10.17 6.19 0.00 1.53279 -9.38 blue
629561 194.757972 27.864570 0.02520 8.25 -2868792670829577.00 -99.00 0.73919 nan blue
629563 194.759561 28.005985 0.02660 8.16 -2851626648988266.50 -99.00 0.71890 nan blue
630652 207.199407 17.283481 0.02526 8.97 -2679574767863276.00 -99.00 0.94180 nan blue
629567 194.774149 28.040759 0.02720 7.89 -3047333390803352.00 -99.00 0.65625 nan blue
629569 194.776605 27.560888 0.02650 9.04 0.04 0.00 0.96340 -10.44 blue
426975 196.973161 28.383181 0.02142 9.75 0.26 0.00 1.25310 -10.34 blue
427007 196.562962 28.712202 0.01965 9.19 0.01 0.00 1.02006 -11.03 red
427476 196.521682 28.787409 0.02307 9.28 0.00 0.00 1.05012 -12.21 red
672808 195.846416 28.864177 0.02191 9.92 0.07 0.00 1.34806 -11.09 red
427560 195.251382 28.792129 0.02660 9.49 54534359145566.18 -99.00 1.13304 4.24 blue
671955 194.474741 28.499793 0.02436 10.18 0.17 0.00 1.53619 -10.95 red
629571 194.791105 28.287562 0.02270 8.77 0.89 0.00 0.88060 -8.82 blue
629572 194.795539 29.447903 0.02390 7.88 0.04 0.00 0.65597 -9.32 blue
628924 190.723715 29.288281 0.02130 8.01 0.02 0.00 0.68465 -9.78 blue
628925 190.725000 20.989728 0.02182 10.74 3.28 0.00 2.73598 -10.22 blue
627536 179.497110 23.202068 0.02196 10.94 0.08 0.00 4.03020 -12.06 red
426971 196.949523 29.153097 0.02324 9.14 46796373626049.61 -99.00 0.99884 4.53 blue
427548 195.198389 29.067172 0.02499 9.36 0.08 0.00 1.07844 -10.45 blue
672003 194.575985 29.128794 0.02633 10.66 1.30 0.00 2.38404 -10.54 red
427637 194.235751 28.623372 0.02186 10.23 0.12 0.00 1.58666 -11.13 red
627313 176.743934 19.745611 0.02071 10.25 -1723984526874632.00 -99.00 1.60877 nan blue
629803 196.301245 29.236041 0.02320 8.22 0.06 0.00 0.73505 -9.41 blue
426996 196.655050 28.337584 0.02170 9.99 0.00 1.00 1.39548 -13.09 red
628715 189.828758 27.773526 0.02234 10.62 0.58 0.00 2.28389 -10.86 red
418487 203.937688 27.867605 0.02702 10.30 0.96 0.00 1.65757 -10.32 blue
418602 201.733433 28.560911 0.02353 9.45 1.60 0.00 1.11711 -9.25 blue
427481 196.148998 28.627760 0.02237 9.62 0.83 0.00 1.19098 -9.70 blue
