NSAID x y z rvir redshift log_sSFR color
629618 -0.09659 0.03696 0.60998 0.89690 0.02064 -9.65 blue
484441 -0.22915 0.04961 0.73431 0.92675 0.02563 -9.58 blue
474638 0.18170 0.02190 0.77563 1.09052 0.02648 -9.92 blue
447297 -0.26537 0.04438 0.75173 1.06433 0.02653 -9.84 blue
629989 -0.15605 0.01044 0.70952 2.15196 0.02418 -9.97 blue
629831 -0.13520 0.01464 0.71714 1.13395 0.02429 nan blue
630470 -0.21702 -0.07208 0.64210 2.50793 0.02271 nan blue
630914 -0.21164 0.06593 0.53218 0.99087 0.01926 -9.62 blue
611456 -0.12276 0.04575 0.63700 2.51306 0.02168 -11.41 red
426987 -0.13744 0.06097 0.74418 1.12427 0.02525 4.43 blue
672928 -0.13408 0.05547 0.76164 1.58415 0.02577 -11.48 red
427064 -0.12519 0.06762 0.69525 1.39041 0.02363 -11.23 red
628008 0.00689 -0.01049 0.67813 1.61376 0.02260 nan blue
629626 -0.11687 0.04292 0.73507 0.76708 0.02480 -9.02 blue
629833 -0.12332 0.06408 0.67633 1.32267 0.02300 -9.83 blue
427498 -0.10065 0.04396 0.58531 1.20337 0.01988 3.90 blue
427517 -0.11853 0.05050 0.69609 1.13584 0.02357 -10.93 red
427686 -0.10213 0.06180 0.71424 0.92414 0.02410 -10.13 blue
474028 0.19637 0.04149 0.78268 1.39407 0.02684 -10.51 red
664188 0.05811 0.05201 0.63297 1.08729 0.02127 -9.57 blue
629839 -0.12940 0.05718 0.70255 0.95211 0.02386 nan blue
474628 0.13923 0.02340 0.60727 0.97273 0.02080 -8.72 blue
630478 -0.20744 -0.04794 0.61927 0.96455 0.02183 -8.73 blue
474909 0.14138 0.04778 0.69801 0.95313 0.02376 -9.88 blue
475047 0.14994 0.07261 0.71503 1.42113 0.02443 -12.40 red
660050 0.16389 0.08184 0.81266 1.22532 0.02765 -9.96 blue
478069 0.04013 0.03598 0.77786 1.12399 0.02592 -10.63 red
475352 0.14689 0.04688 0.71147 0.92503 0.02423 -8.88 blue
475454 0.12908 0.04931 0.70052 1.26245 0.02377 -9.73 blue
478464 0.02236 0.05299 0.65797 0.95945 0.02202 -10.18 blue
473872 0.16378 0.02208 0.62299 1.39590 0.02149 -9.34 blue
626268 0.15690 -0.02818 0.62571 0.85853 0.02153 -10.29 blue
665476 0.04058 0.05015 0.82083 2.99924 0.02734 -10.97 red
474186 0.14242 0.04991 0.60779 0.97676 0.02089 -9.63 blue
474693 0.18913 0.04024 0.77229 1.31801 0.02645 -10.84 red
479565 0.00403 0.02120 0.74992 1.15902 0.02495 -9.69 blue
629843 -0.12198 0.05602 0.65860 0.53200 0.02240 -8.32 blue
474924 0.12989 0.05428 0.65714 0.99550 0.02240 -9.76 blue
479689 -0.00115 0.04915 0.80717 1.06528 0.02686 4.25 blue
475515 0.09578 0.01993 0.60683 1.04007 0.02051 -9.44 blue
479762 -0.00245 0.04867 0.79724 1.11530 0.02654 -9.65 blue
477370 0.05945 0.06248 0.67490 1.52551 0.02267 -9.88 blue
475070 0.13389 0.06095 0.66077 1.22131 0.02256 -9.48 blue
480392 -0.00366 0.04826 0.76501 1.84132 0.02549 -12.10 red
480432 -0.00719 0.04754 0.82452 1.71758 0.02742 -10.91 red
480511 -0.02322 0.03611 0.69429 0.90219 0.02317 -10.61 red
629628 -0.12745 0.04709 0.80150 0.87539 0.02700 -9.60 blue
629630 -0.11908 0.04183 0.74721 0.91769 0.02520 -13.44 red
475456 0.12433 0.04512 0.68546 2.73157 0.02325 -10.93 red
477867 0.05405 0.02186 0.66871 0.96184 0.02237 -11.70 red
477967 0.06394 0.05172 0.82140 3.14809 0.02741 -10.34 blue
475864 0.09949 0.05217 0.67416 1.45696 0.02277 -9.62 blue
477994 0.06422 0.04695 0.81846 1.06998 0.02730 -10.05 blue
426963 -0.14481 0.06178 0.76719 1.24491 0.02603 -11.58 red
426974 -0.12568 0.04749 0.66345 1.35026 0.02256 -10.82 red
478324 0.03817 0.05062 0.82018 1.04307 0.02731 4.51 blue
481417 -0.05614 0.03592 0.66224 1.19589 0.02218 -10.09 blue
478552 0.04269 0.05797 0.80148 1.08617 0.02673 -9.25 blue
427487 -0.10396 0.04925 0.58533 0.96342 0.01992 -11.23 red
481686 -0.08107 0.02303 0.63291 1.10383 0.02129 -10.32 blue
427503 -0.12792 0.06169 0.74284 1.12401 0.02515 -11.14 red
427531 -0.10433 0.05137 0.63181 1.51252 0.02142 -11.57 red
481748 -0.08629 0.02721 0.70420 1.88255 0.02364 -11.03 red
482008 -0.09913 0.04156 0.78811 1.15825 0.02643 3.87 blue
482009 -0.08430 0.04089 0.69194 1.03019 0.02325 4.00 blue
482123 -0.07605 0.04980 0.66681 0.95838 0.02243 -9.75 blue
477822 0.05206 0.02247 0.67234 1.03857 0.02248 -9.84 blue
482644 -0.11455 0.05206 0.75501 1.19848 0.02545 -9.99 blue
