NSAID RA DEC redshift mstars sfr sfr_err rvir log_sSFR color filID filNgal0p5 filNgal1p0
599 147.740304 0.863167 0.02513 9.72 0.45 0.00 1.23825 -10.07 blue 8844 4 8
307 146.591263 0.896683 0.02630 9.19 0.01 1.00 1.01648 -11.17 red 4679 3 3
300 146.520317 0.871843 0.02681 10.60 0.30 0.00 2.20157 -11.13 red 4679 3 3
623429 147.196313 1.053205 0.02727 10.27 0.64 0.00 1.62395 -10.47 blue 951 17 21
314 146.611330 0.693017 0.02518 8.83 0.18 0.00 0.89748 -9.56 blue 4679 3 3
303 146.530862 0.781909 0.02026 8.43 0.12 0.00 0.78808 -9.34 blue 7516 3 5
339 146.931766 1.035216 0.02719 9.10 0.18 0.00 0.98253 -9.84 blue 951 17 21
639 147.897238 0.434684 0.02063 9.68 0.81 0.00 1.21989 -9.77 blue 2227 44 52
434 148.979517 -0.190298 0.02095 9.86 0.12 0.00 1.31677 -10.77 red 2227 44 52
401 149.090213 -0.251429 0.02140 9.69 0.36 0.00 1.22481 -10.13 blue 7535 4 4
648862 147.999356 1.046740 0.02118 8.81 0.00 0.00 0.89314 -12.72 red 2227 44 52
562 147.306311 1.177797 0.02502 9.99 0.84 0.00 1.38920 -10.06 blue 8844 4 8
659 148.335243 0.720654 0.02078 9.04 0.18 0.00 0.96666 -9.78 blue 2227 44 52
560 147.245765 1.138552 0.02553 9.28 0.15 0.00 1.05066 -10.12 blue 8844 4 8
600 147.835602 0.899717 0.02049 8.63 0.10 0.00 0.84287 -9.61 blue 2227 44 52
713 148.440521 0.786794 0.02051 8.67 0.15 0.00 0.85430 -9.50 blue 2227 44 52
673 148.047767 1.095441 0.02021 10.48 1.25 0.00 1.92839 -10.38 blue 2227 44 52
647 148.188112 0.751636 0.02617 8.72 0.40 0.00 0.86597 -9.12 blue 4679 3 3
564 147.335306 1.153860 0.02747 9.02 0.47 0.00 0.95633 -9.35 blue 951 17 21
628 147.931309 0.952178 0.02720 8.94 0.21 0.00 0.93149 -9.62 blue 951 17 21
671 148.443673 0.494276 0.02076 9.40 0.53 0.00 1.09756 -9.67 blue 2227 44 52
1429 151.483740 0.617192 0.02170 9.38 0.25 0.00 1.09013 -9.98 blue 2227 44 52
1808 153.469131 0.550985 0.02065 10.03 1.21 0.00 1.42359 -9.95 blue 11635 4 4
1421 151.079046 0.120423 0.02187 9.67 0.16 0.00 1.21508 -10.47 blue 7535 4 4
1425 151.382908 0.611007 0.02049 9.90 0.34 0.00 1.33937 -10.37 blue 2227 44 52
934 148.823923 -1.245129 0.02067 8.83 0.01 0.00 0.90100 -10.92 red 2227 44 52
1713 152.149733 -0.676795 0.02121 8.64 0.07 1.00 0.84523 -9.78 blue 11635 4 4
1392 151.109119 0.601772 0.02116 9.08 0.01 0.00 0.97868 -11.33 red 2227 44 52
1201 151.809591 0.055766 0.02166 8.46 0.11 0.00 0.79464 -9.42 blue 7535 4 4
1256 151.220774 -0.058314 0.02148 9.94 0.21 0.00 1.36284 -10.62 red 7535 4 4
1480 151.536209 0.688361 0.02120 8.93 19705766560217.70 -99.00 0.93197 4.36 blue 2227 44 52
2092 153.759706 0.968256 0.02120 8.73 0.16 0.00 0.86958 -9.52 blue 2227 44 52
1432 151.461118 0.631810 0.02126 10.64 0.16 0.00 2.32513 -11.44 red 2227 44 52
1423 151.350372 0.543867 0.02133 10.58 1.01 0.00 2.14434 -10.57 red 2227 44 52
2236 155.471691 0.295361 0.02148 10.25 0.10 1.00 1.60865 -11.26 red 11191 3 3
1479 151.480562 0.652202 0.02106 9.05 26741727449624.77 -99.00 0.97072 4.38 blue 2227 44 52
1248 151.541490 -0.666994 0.02123 9.05 0.18 0.00 0.96927 -9.79 blue 11635 4 4
1418 151.163873 0.281513 0.02169 9.78 0.01 0.00 1.26950 -11.79 red 7535 4 4
2193 154.823002 0.344439 0.02086 9.67 0.13 0.00 1.21628 -10.55 red 11191 3 3
2166 154.374259 0.200609 0.02113 9.06 0.30 0.00 0.97347 -9.58 blue 11191 3 3
2034 153.722362 -1.152923 0.02026 9.07 0.14 0.00 0.97659 -9.93 blue 11635 4 4
3573 160.255052 0.632622 0.02220 9.83 0.13 0.00 1.29900 -10.71 red 2227 44 52
2450 155.779160 1.006084 0.02166 8.66 0.36 0.00 0.84855 -9.10 blue 2227 44 52
2602 156.837792 0.422245 0.02172 8.71 0.44 0.00 0.86475 -9.07 blue 2227 44 52
2538 156.059117 0.147738 0.02333 8.87 0.03 0.00 0.91179 -10.47 blue 2227 44 52
2512 156.149002 1.109811 0.02170 10.45 0.00 1.00 1.87621 -12.78 red 2227 44 52
2327 155.919330 -1.234643 0.02002 9.28 0.06 0.00 1.05327 -10.49 blue 11191 3 3
655112 161.264980 0.434361 0.02630 10.35 1.96 0.00 1.72210 -10.06 blue 5183 3 4
2578 156.661525 0.983448 0.02174 8.92 0.28 0.00 0.92856 -9.47 blue 2227 44 52
1642 152.680952 -0.637768 0.02111 8.74 0.03 1.00 0.87317 -10.32 blue 11635 4 4
2484 155.982803 1.033402 0.02268 8.45 0.15 0.00 0.79240 -9.27 blue 2227 44 52
2607 156.854241 1.241762 0.02206 10.13 0.17 0.00 1.50024 -10.90 red 2227 44 52
2397 155.573869 0.010280 0.02122 8.99 0.22 0.00 0.95101 -9.66 blue 11191 3 3
2509 156.313181 0.892640 0.02275 9.15 0.40 0.00 1.00225 -9.54 blue 2227 44 52
2930 159.008588 0.989058 0.01894 8.74 0.13 0.00 0.87377 -9.61 blue 3953 12 14
2778 157.120583 1.249854 0.02232 9.11 0.02 1.00 0.98920 -10.93 red 2227 44 52
2563 156.366014 0.883601 0.02258 8.89 0.40 0.00 0.91919 -9.30 blue 2227 44 52
3088 159.893775 -0.252958 0.01882 9.45 0.70 0.00 1.11749 -9.60 blue 3953 12 14
2560 156.425575 0.763045 0.02161 10.22 3.93 0.00 1.57363 -9.62 blue 2227 44 52
2642 159.309519 -0.087440 0.02126 8.82 0.13 0.00 0.89632 -9.70 blue 2227 44 52
3045 159.934578 -0.857951 0.02533 8.94 0.32 0.00 0.93222 -9.43 blue 5183 3 4
2793 157.404511 0.951188 0.02251 9.73 0.74 0.00 1.24414 -9.86 blue 2227 44 52
2955 160.732534 -0.928085 0.02637 8.75 0.16 0.00 0.87441 -9.56 blue 11154 3 4
3123 159.826098 -0.229142 0.01888 9.62 0.21 0.00 1.19281 -10.30 blue 3953 12 14
2982 160.430925 -0.889693 0.02609 8.73 0.12 0.00 0.86868 -9.64 blue 11154 3 4
654881 160.879308 -0.583848 0.01905 8.72 0.00 0.00 0.86863 -11.50 red 3953 12 14
2950 160.576663 -0.909211 0.02605 9.19 0.26 0.00 1.01489 -9.78 blue 11154 3 4
2613 156.681145 1.006150 0.02165 10.10 1.54 0.00 1.47458 -9.91 blue 2227 44 52
4694 167.165091 0.284301 0.02486 10.36 0.03 1.00 1.73138 -11.85 red 11176 3 3
624646 156.931742 1.194047 0.02171 9.39 0.24 0.00 1.09321 -10.02 blue 2227 44 52
3151 159.606300 -0.017784 0.01908 9.17 0.52 0.00 1.01112 -9.45 blue 3953 12 14
3049 159.928760 -0.707963 0.02719 10.04 0.46 0.00 1.42646 -10.38 blue 11154 3 4
3161 159.112999 -1.146049 0.02396 9.59 0.93 0.00 1.17476 -9.62 blue 2227 44 52
4502 168.010805 -0.174842 0.02488 10.39 0.01 1.00 1.77636 -12.47 red 5511 11 14
5171 169.706499 0.619294 0.02539 10.10 2.73 0.00 1.46702 -9.66 blue 5511 11 14
3390 162.204238 -0.987365 0.02615 9.75 0.88 0.00 1.25049 -9.80 blue 11176 3 3
3495 161.324519 0.019380 0.02626 8.79 0.01 1.00 0.88439 -10.86 red 5183 3 4
3452 162.151609 -0.236064 0.02601 8.53 0.13 0.00 0.81188 -9.42 blue 11176 3 3
5589 171.077715 0.643733 0.02636 10.10 2.40 0.00 1.46789 -9.72 blue 444 11 16
5798 170.944936 -1.041571 0.01888 8.56 0.11 0.00 0.82269 -9.52 blue 9333 4 7
3674 161.667057 0.357551 0.02619 9.53 0.63 0.00 1.15021 -9.74 blue 5183 3 4
2565 156.588087 0.684930 0.02150 10.28 1.24 0.00 1.64171 -10.19 blue 2227 44 52
6002 175.118996 -0.393623 0.02711 9.12 0.39 0.00 0.98985 -9.53 blue 3577 9 10
3398 162.228623 -0.709314 0.02604 9.78 0.93 0.00 1.26763 -9.81 blue 11176 3 3
656389 163.987271 -0.005165 0.02609 9.50 0.61 0.00 1.13766 -9.72 blue 11176 3 3
3767 164.540995 -0.774715 0.02143 10.17 0.93 0.00 1.53537 -10.21 blue 14975 3 3
3500 161.024545 -0.962630 0.02656 9.44 0.67 0.00 1.10935 -9.61 blue 11154 3 4
3865 163.115527 -0.606747 0.02150 8.82 0.13 0.00 0.89575 -9.71 blue 14975 3 3
3929 162.258455 -0.717237 0.02612 9.68 0.28 0.00 1.21759 -10.24 blue 11176 3 3
4722 167.791909 0.625372 0.02505 10.04 0.62 0.00 1.42771 -10.25 blue 5511 11 14
4893 169.158275 -1.027588 0.02708 10.36 0.00 0.00 1.72319 -13.45 red 4337 6 9
3499 160.849128 -1.096410 0.02633 9.41 0.67 0.00 1.09709 -9.58 blue 11154 3 4
5369 169.981217 -0.879618 0.02455 10.92 3.69 0.00 3.86707 -10.36 blue 2831 12 17
4203 165.813560 -0.174683 0.01954 9.02 0.13 0.00 0.95948 -9.89 blue 14975 3 3
4117 164.524953 0.412160 0.02595 10.00 0.00 1.00 1.40022 -12.63 red 11176 3 3
4827 170.188326 -0.148359 0.02494 9.70 0.18 0.00 1.22598 -10.44 blue 10248 9 12
5210 170.205427 0.390189 0.02449 10.24 0.19 0.00 1.59166 -10.95 red 10248 9 12
4683 167.096471 0.113193 0.02508 9.16 0.65 0.00 1.00710 -9.35 blue 11176 3 3
4097 164.388347 0.437291 0.02608 9.27 0.49 0.00 1.04336 -9.57 blue 11176 3 3
4729 167.658923 0.891243 0.02514 9.70 1.27 0.00 1.23005 -9.60 blue 5511 11 14
3635 161.478243 1.068273 0.02620 8.69 1.19 0.00 0.85648 -8.62 blue 5183 3 4
4244 164.629937 -1.006770 0.02148 8.90 0.15 0.00 0.92136 -9.72 blue 14975 3 3
4458 167.629426 -1.207316 0.02515 9.01 0.12 0.00 0.95319 -9.94 blue 9606 2 2
5268 170.633854 -0.841157 0.02445 10.41 0.55 0.00 1.80426 -10.67 red 2831 12 17
5455 170.164400 0.457452 0.02372 9.12 0.04 0.00 0.99395 -10.55 red 10248 9 12
5159 169.731651 0.089849 0.01924 9.42 0.36 0.00 1.10681 -9.86 blue 9333 4 7
4949 168.603723 -0.830851 0.02779 8.88 0.07 0.00 0.91293 -10.04 blue 4337 6 9
4256 164.882922 -0.041857 0.01899 8.17 0.12 0.00 0.72333 -9.09 blue 3953 12 14
664834 180.075104 0.295084 0.02066 10.29 0.37 0.00 1.64643 -10.72 red 382 22 30
4868 168.981051 -0.773885 0.02725 9.95 0.68 0.00 1.36570 -10.12 blue 4337 6 9
4658 166.905295 0.711123 0.02576 8.97 0.15 0.00 0.94222 -9.79 blue 11176 3 3
6395 175.946414 -0.843893 0.02020 8.92 0.06 0.00 0.92968 -10.11 blue 10926 2 2
4932 168.764483 -0.460160 0.02768 8.69 0.30 0.00 0.85408 -9.21 blue 4337 6 9
5920 172.395045 1.067415 0.01978 8.78 0.03 0.00 0.88450 -10.28 blue 1474 17 20
4714 167.494005 0.181378 0.01895 9.31 0.47 0.00 1.06260 -9.63 blue 9333 4 7
4158 166.133293 -0.730514 0.01966 10.02 0.02 1.00 1.41391 -11.64 red 14975 3 3
6719 177.622651 -0.771311 0.02680 9.48 0.32 0.00 1.12891 -9.98 blue 34 37 45
6137 173.138429 0.997987 0.02577 9.75 1.06 0.00 1.25196 -9.72 blue 7476 7 7
4706 167.170449 0.391763 0.02531 10.18 2.02 0.00 1.53838 -9.88 blue 11176 3 3
5996 175.026692 -0.837744 0.01960 10.38 0.19 0.00 1.76453 -11.11 red 1474 17 20
4826 170.239058 -0.097090 0.02536 9.28 0.84 0.00 1.05001 -9.36 blue 10248 9 12
4909 169.015210 -0.533451 0.02576 9.20 0.71 0.00 1.02008 -9.35 blue 9606 2 2
4183 165.955732 -0.210155 0.02121 9.62 0.01 1.00 1.19208 -11.83 red 14975 3 3
7028 180.143158 -0.531379 0.02088 8.83 0.12 0.00 0.89892 -9.76 blue 382 22 30
7038 180.034070 -0.663368 0.02052 9.63 0.04 0.00 1.19587 -11.06 red 382 22 30
5338 170.192584 -1.256883 0.02556 9.60 0.28 0.00 1.17894 -10.15 blue 2831 12 17
5423 169.629672 0.964517 0.02499 8.94 0.11 0.00 0.93304 -9.91 blue 5511 11 14
8340 186.854294 -0.043975 0.02331 8.59 0.01 1.00 0.82933 -10.54 red 12590 2 5
5222 171.154434 -0.991887 0.02559 10.58 0.01 1.00 2.14446 -12.79 red 444 11 16
5207 170.218516 0.408068 0.02499 8.89 0.12 0.00 0.91666 -9.82 blue 10248 9 12
5208 170.249025 0.534230 0.02434 10.50 2.49 0.00 1.96277 -10.10 blue 10248 9 12
5094 168.842200 0.115426 0.02736 9.52 0.08 1.00 1.14329 -10.60 red 4337 6 9
6971 180.205025 -1.250360 0.02098 8.61 0.11 0.00 0.83676 -9.56 blue 382 22 30
