NSAID smallestImpact
81361 1873.3
84954 3989.2
58261 2654.9
51553 6730.2
51325 6835.4
83232 2809.7
87137 2935.1
75680 11547.3
81638 4667.2
79879 4273.3
51770 4060.1
77906 9010.6
87564 2006.6
87565 2500.4
84164 4611.0
85599 2791.8
47909 1828.0
81337 1227.1
88049 2861.9
88058 3286.9
85784 2119.4
88094 1566.1
85906 600.8
82835 2293.3
85920 1217.5
80472 5846.6
657546 2163.8
84838 8313.8
88452 3775.6
82782 2314.8
84707 5439.7
82887 2913.1
78942 4816.0
76370 5618.9
85651 3016.7
59861 5230.6
86269 2090.7
85968 3019.1
85972 4137.1
56495 4392.1
86014 2727.8
623187 2301.9
83485 3214.9
81174 4690.3
86164 2151.3
76761 4243.0
85646 3096.3
52717 3644.7
85273 5480.9
56821 9390.5
84844 7908.2
83991 3623.4
84924 9351.6
87558 2822.6
87607 2856.4
87628 3257.6
77202 4613.5
87005 2888.7
87153 3389.6
85985 3775.0
87970 1361.0
84484 6858.9
84781 6815.5
86086 2236.8
77817 6993.6
80320 3660.3
86182 2374.9
60564 8852.9
85633 2202.5
85292 5394.8
77947 9694.6
80608 3153.4
80482 5997.8
46555 7571.9
82830 2348.5
71499 8443.7
87931 2163.9
57532 6946.2
86144 2154.7
87848 3524.0
88038 3119.9
86368 2352.2
86402 3019.2
87269 901.2
57711 4290.3
87965 1288.8
88115 1237.2
88014 2625.3
86254 2469.3
88042 2952.0
87305 1534.9
85786 2125.8
78593 5637.8
81338 890.1
57905 4333.7
87709 2250.1
81613 4250.6
57995 2304.2
88180 3183.1
87905 1442.2
647279 1964.8
83509 2502.0
86022 2464.5
85681 1685.1
87695 2384.0
61165 4882.7
58401 2071.1
86173 2461.7
87115 2269.6
682744 2671.1
86117 1450.6
87599 3053.2
60570 8249.4
87649 3813.6
60587 8450.0
87662 3059.5
82093 4163.5
16410 6300.6
92616 11736.7
58824 4834.3
86605 2502.7
80691 8869.8
89886 1428.8
57065 8083.2
58993 7474.8
87583 3079.9
87708 1559.7
648411 5912.3
82187 6357.1
93013 3346.3
84653 7537.3
72682 4216.1
88385 4308.1
88900 1994.2
81412 2773.3
82803 2466.6
87205 3448.7
82987 3624.8
82957 4805.6
87555 2813.1
87573 1986.6
682634 2738.7
57625 7165.2
48080 1288.3
