NSAID x y z rvir redshift log_sSFR color
4183 0.17277 -0.26006 0.55397 1.19208 0.02121 -11.83 red
7028 0.01724 -0.26893 0.56481 0.89892 0.02088 -9.76 blue
7038 0.01811 -0.26555 0.55442 1.19587 0.02052 -11.06 red
5338 0.15359 -0.33267 0.67571 1.17894 0.02556 -10.15 blue
5423 0.15740 -0.29820 0.67158 0.93304 0.02499 -9.91 blue
8340 -0.06262 -0.29432 0.63193 0.82933 0.02331 -10.54 red
5222 0.14111 -0.33090 0.68031 2.14446 0.02559 -12.79 red
5207 0.14984 -0.30550 0.66995 0.91666 0.02499 -9.82 blue
5208 0.14545 -0.29591 0.65280 1.96277 0.02434 -10.10 blue
5094 0.18369 -0.33712 0.72923 1.14329 0.02736 -10.60 red
6971 0.01664 -0.27742 0.56429 0.83676 0.02098 -9.56 blue
5217 0.14940 -0.30764 0.66723 1.62346 0.02494 -9.99 blue
4677 0.19021 -0.30074 0.66666 0.95439 0.02513 -9.36 blue
5774 0.13876 -0.33455 0.69279 0.97252 0.02598 -9.86 blue
5982 0.08634 -0.23829 0.52640 1.01061 0.01951 -9.38 blue
5221 0.13635 -0.32469 0.67436 5.37398 0.02530 -11.28 red
6724 0.04035 -0.24646 0.52049 0.95852 0.01928 -9.82 blue
5452 0.13922 -0.27383 0.61968 1.11144 0.02304 -9.53 blue
5831 0.13529 -0.28565 0.62690 1.13205 0.02338 -9.96 blue
7968 -0.05605 -0.32864 0.69202 1.33384 0.02554 -9.65 blue
5864 0.10332 -0.23415 0.53421 0.94581 0.01978 -9.51 blue
6074 0.10774 -0.34685 0.72060 0.98560 0.02680 -9.79 blue
5209 0.14988 -0.30572 0.66766 0.92948 0.02493 -9.45 blue
5596 0.14593 -0.31732 0.70553 1.64167 0.02616 -9.58 blue
5808 0.13591 -0.30247 0.63254 0.92159 0.02378 -9.43 blue
4922 0.17142 -0.32431 0.68646 1.64868 0.02587 -10.25 blue
6161 0.09098 -0.24156 0.53180 0.82360 0.01974 -9.47 blue
5537 0.13745 -0.29006 0.64162 1.03116 0.02388 -10.26 blue
5226 0.13760 -0.32912 0.67732 0.92204 0.02545 -9.66 blue
5429 0.15660 -0.31042 0.67984 0.85497 0.02539 -9.26 blue
8467 -0.07156 -0.27965 0.62283 1.04760 0.02287 -10.43 blue
5704 0.12694 -0.32121 0.68919 1.22891 0.02563 -9.96 blue
5437 0.15739 -0.30517 0.66964 1.31006 0.02503 -9.32 blue
6779 0.04660 -0.26730 0.54764 2.42803 0.02040 -10.59 red
5373 0.15121 -0.31877 0.65596 1.34168 0.02478 -12.26 red
8056 -0.03047 -0.27422 0.57043 0.87066 0.02114 -11.43 red
5421 0.14206 -0.26931 0.61498 0.98564 0.02286 -9.97 blue
5158 0.15719 -0.30888 0.66963 0.85163 0.02508 -9.38 blue
